iter	Passed	Remaining
0	1	1018
1	1	880
2	2	869
3	3	836
4	4	861
5	5	858
6	6	857
7	6	848
8	7	835
9	8	824
10	9	818
11	9	813
12	10	821
13	11	825
14	12	822
15	13	820
16	14	815
17	14	812
18	15	806
19	16	807
20	17	812
21	18	808
22	18	804
23	19	799
24	20	799
25	21	796
26	22	793
27	22	790
28	23	799
29	24	797
30	25	792
31	26	787
32	27	806
33	28	816
34	29	817
35	30	817
36	31	818
37	32	817
38	33	814
39	33	810
40	34	808
41	35	807
42	36	809
43	37	809
44	38	806
45	38	804
46	39	802
47	40	799
48	41	796
49	41	795
50	42	795
51	43	794
52	44	792
53	45	789
54	45	787
55	46	784
56	47	782
57	48	790
58	49	789
59	50	788
60	51	786
61	51	784
62	52	781
63	53	778
64	53	776
65	54	777
66	55	776
67	56	774
68	57	773
69	58	770
70	58	768
71	59	766
72	60	764
73	61	766
74	62	767
75	62	765
76	63	763
77	64	761
78	65	759
79	65	757
80	66	755
81	67	753
82	67	749
83	68	747
84	69	746
85	70	744
86	70	743
87	71	741
88	72	741
89	73	741
90	74	741
91	74	739
92	75	738
93	76	736
94	77	734
95	77	732
96	78	731
97	79	729
98	80	729
99	80	728
100	81	726
101	82	724
102	83	723
103	83	721
104	84	719
105	85	717
106	85	717
107	86	716
108	87	715
109	88	714
110	88	712
111	89	710
112	90	709
113	91	708
114	91	706
115	92	706
116	93	704
117	94	702
118	94	701
119	95	699
120	96	698
121	96	696
122	97	695
123	98	694
124	99	693
125	99	692
126	100	690
127	101	688
128	101	687
129	102	686
130	103	684
131	103	682
132	104	681
133	105	682
134	106	681
135	107	680
136	107	678
137	108	677
138	109	676
139	109	675
140	110	674
141	111	672
142	112	671
143	112	670
144	113	668
145	114	667
146	114	666
147	115	664
148	116	663
149	116	662
150	117	662
151	118	661
152	119	659
153	119	658
154	120	657
155	121	656
156	122	655
157	122	653
158	123	653
159	124	652
160	124	650
161	125	649
162	126	648
163	126	646
164	127	645
165	128	645
166	129	644
167	129	643
168	130	642
169	131	642
170	132	641
171	132	640
172	133	639
173	134	638
174	135	637
175	136	636
176	136	636
177	137	635
178	138	634
179	139	634
180	140	633
181	140	633
182	141	632
183	142	632
184	143	631
185	144	630
186	144	630
187	145	628
188	146	627
189	146	626
190	147	625
191	148	625
192	149	625
193	150	624
194	151	623
195	151	623
196	152	623
197	153	622
198	154	621
199	155	621
200	156	620
201	156	619
202	157	618
203	158	617
204	159	616
205	159	615
206	160	615
207	161	614
208	162	614
209	163	613
210	163	612
211	164	611
212	165	610
213	166	609
214	166	609
215	167	608
216	168	607
217	169	606
218	169	605
219	170	604
220	171	603
221	171	602
222	172	601
223	173	600
224	174	600
225	174	599
226	175	598
227	176	597
228	177	596
229	177	594
230	178	593
231	179	592
232	179	591
233	180	591
234	181	590
235	181	589
236	182	587
237	183	586
238	183	585
239	184	584
240	185	583
241	185	582
242	186	581
243	187	580
244	187	579
245	188	578
246	189	577
247	190	576
248	190	575
249	191	574
250	192	574
251	193	574
252	194	573
253	195	572
254	195	571
255	196	570
256	197	569
257	197	568
258	198	567
259	199	566
260	199	566
261	200	565
262	201	564
263	202	563
264	202	562
265	203	561
266	204	560
267	204	559
268	205	558
269	206	557
270	206	556
271	207	555
272	208	554
273	208	553
274	209	552
275	210	551
276	210	550
277	211	549
278	212	548
279	213	548
280	213	547
281	214	546
